Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2021-03-26,Tomato,60.00--70.00,60.00--70.00,55.00--65.00,60.00--70.00,,35.00--50.00,60.00-65.00,,,
2021-03-29,Tomato,80.00--100.00,70.00--80.00,60.00--70.00,,,50.00--60.00,60.00-65.00,,,
2021-03-30,Tomato,70.00--80.00,70.00--80.00,50.00--60.00,80.00--90.00,,45.00--55.00,55.00-60.00,,,
2021-03-31,Tomato,80.00--90.00,110.00--120.00,60.00--70.00,80.00--90.00,,,,,,
2021-04-01,Tomato,90.00--100.00,90.00--100.00,100.00--110.00,110.00--120.00,,100.00--110.00,90.00-100.00,,,
2021-04-03,Tomato,150.00--160.00,180.00--190.00,150.00--160.00,170.00--180.00,,150.00--170.00,170.00-180.00,,,
2021-04-05,Tomato,50.00--70.00,60.00--70.00,,65.00--70.00,50.00--80.00,50.00--60.00,50.00-60.00,,,
2021-04-08,Tomato,70.00--80.00,60.00--70.00,50.00--60.00,70.00--80.00,,50.00--65.00,50.00-60.00,,,
2021-04-10,Tomato,40.00--60.00,50.00--60.00,40.00--55.00,60.00--70.00,80.00--100.00,40.00--50.00,50.00-60.00,,,
2021-04-19,Tomato,60.00--70.00,50.00--60.00,30.00--40.00,70.00--80.00,80.00--100.00,30.00--40.00,50.00-60.00,,,
2021-04-20,Tomato,60.00--70.00,60.00--70.00,35.00--50.00,70.00--80.00,70.00--100.00,25.00--40.00,40.00-50.00,,,
2021-04-21,Tomato,60.00--70.00,50.00--60.00,35.00--45.00,60.00--70.00,70.00--100.00,30.00--40.00,45.00-55.00,,,
2021-04-22,Tomato,60.00--70.00,50.00--60.00,30.00--40.00,55.00--65.00,50.00--70.00,40.00--50.00,40.00-50.00,,,
2021-04-23,Tomato,50.00--60.00,60.00--70.00,35.00--45.00,55.00--60.00,50.00--70.00,35.00--45.00,50.00-60.00,,,
2021-04-27,Tomato,60.00--70.00,50.00--60.00,,,40.00--50.00,70.00--80.00,45.00-55.00,,,
2021-04-28,Tomato,60.00--70.00,70.00--80.00,,70.00--80.00,60.00--80.00,50.00--60.00,40.00-45.00,,,
2021-04-29,Tomato,60.00--70.00,70.00--80.00,,70.00--75.00,40.00--60.00,50.00--60.00,50.00-60.00,,,
2021-04-30,Tomato,60.00--70.00,70.00--80.00,,65.00--70.00,40.00--70.00,60.00--70.00,50.00-60.00,,,
2021-05-01,Tomato,70.00--80.00,90.00--100.00,100.00--110.00,110.00--120.00,,80.00--90.00,70.00-80.00,,,
2021-05-02,Tomato,180.00--200.00,170.00--180.00,150.00--170.00,,,120.00--140.00,150.00-160.00,,,
2021-05-03,Tomato,140.00--160.00,160.00--170.00,150.00--160.00,160.00--170.00,,140.00--160.00,160.00-180.00,,,
2021-05-04,Tomato,80.00--100.00,80.00--90.00,70.00--80.00,90.00--100.00,60.00--80.00,70.00--85.00,80.00-100.00,,,
2021-05-05,Tomato,70.00--80.00,60.00--70.00,50.00--60.00,70.00--80.00,50.00--70.00,60.00--70.00,50.00-55.00,,,
2021-05-07,Tomato,60.00--80.00,70.00--80.00,70.00--80.00,70.00--80.00,100.00--130.00,60.00--80.00,60.00-65.00,,,
2021-05-08,Tomato,70.00--80.00,60.00--70.00,50.00--60.00,70.00--80.00,,50.00--70.00,50.00-55.00,,,
2021-05-10,Tomato,40.00--50.00,40.00--50.00,45.00--55.00,55.00--60.00,80.00--100.00,45.00--50.00,50.00-60.00,,,
2021-05-13,Tomato,140.00--150.00,150.00--160.00,110.00--120.00,110.00--120.00,80.00--100.00,120.00--140.00,110.00-120.00,,,
2021-05-17,Tomato,120.00--150.00,100.00--120.00,70.00--100.00,,80.00--120.00,120.00--140.00,60.00-70.00,,,
2021-05-18,Tomato,130.00--140.00,90.00--100.00,100.00--110.00,120.00--130.00,100.00--120.00,110.00--130.00,70.00-80.00,,,
2021-05-19,Tomato,180.00--200.00,130.00--140.00,170.00--200.00,120.00--130.00,100.00--140.00,130.00--150.00,130.00-160.00,,,
2021-05-20,Tomato,240.00--250.00,190.00--200.00,180.00--220.00,150.00--160.00,,180.00--200.00,140.00-150.00,,,
2021-05-21,Tomato,160.00--200.00,150.00--160.00,170.00--200.00,220.00--230.00,50.00--60.00,160.00-170.00,100.00-120.00,,,
2021-06-01,Tomato,60.00--80.00,90.00--100.00,60.00--80.00,90.00--100.00,,60.00--70.00,60.00-70.00,,,
2021-06-04,Tomato,80.00--90.00,80.00--90.00,70.00--80.00,90.00--100.00,60.00--80.00,60.00--70.00,70.00-80.00,,,
2021-06-05,Tomato,70.00--80.00,70.00--80.00,50.00--60.00,65.00--70.00,50.00--80.00,60.00--70.00,50.00-55.00,,,
2021-06-07,Tomato,70.00--90.00,50.00--60.00,55.00--65.00,80.00--90.00,100.00--130.00,60.00--70.00,50.00-60.00,,,
2021-06-08,Tomato,40.00--60.00,60.00--70.00,50.00--65.00,70.00--80.00,,60.00--70.00,50.00-55.00,,,
2021-06-09,Tomato,110.00--120.00,130.00--140.00,100.00--110.00,130.00--140.00,,65.00--80.00,100.00-110.00,,,
2021-06-10,Tomato,40.00--50.00,40.00--50.00,45.00--50.00,55.00--65.00,80.00--100.00,40.00--50.00,50.00-60.00,,,
2021-06-12,Tomato,350-380,380--400,330--350,350--380,350--400,360--400,330-350,,,
2021-06-18,Tomato,100.00--120.00,100.00--110.00,80.00--100.00,140.00--150.00,120.00--150.00,100.00--110.00,60.00-70.00,,,
2021-06-21,Tomato,150.00--160.00,100.00--110.00,100.00--120.00,,100.00--120.00,130.00--140.00,100.00-110.00,,,
2021-06-22,Tomato,100.00--110.00,100.00--110.00,80.00--100.00,130.00--140.00,120.00--150.00,100.00--120.00,70.00-80.00,,,
2021-06-23,Tomato,100.00--110.00,90.00--100.00,130.00--140.00,120.00--130.00,130.00--150.00,100.00--110.00,60.00-70.00,,,
2021-06-25,Tomato,90.00--100.00,80.00--90.00,100.00--120.00,,,,50.00-60.00,,,
2021-06-28,Tomato,50.00--60.00,50.00--60.00,,90.00--100.00,120.00--140.00,80.00--100.00,50.00-60.00,,,
2021-06-29,Tomato,60.00--70.00,60.00--70.00,60.00--70.00,80.00--90.00,120.00--140.00,80.00--100.00,50.00-60.00,,,
2021-06-30,Tomato,60.00--70.00,60.00--70.00,60.00--70.00,80.00--90.00,100.00--140.00,60.00--70.00,45.00-50.00,,,
2021-07-01,Tomato,60.00--70.00,80.00--90.00,80.00--100.00,90.00--110.00,,70.00--80.00,65.00-75.00,,,
2021-07-04,Tomato,70.00--80.00,70.00--80.00,60.00--65.00,80.00--90.00,80.00--90.00,50.00--60.00,60.00-70.00,,,
2021-07-05,Tomato,70.00--80.00,70.00--80.00,60.00--70.00,65.00--70.00,60.00--80.00,50.00--60.00,50.00-60.00,,,
2021-07-07,Tomato,70.00--90.00,60.00--70.00,55.00--70.00,80.00--90.00,120.00--140.00,60.00--70.00,50.00-60.00,,,
2021-07-10,Tomato,40.00--50.00,40.00--50.00,60.00--70.00,60.00--70.00,80.00--100.00,60.00--80.00,55.00-60.00,,,
2021-07-12,Tomato,420-450,390--400,350--360,,350--400,360--400,300-320,300--330,,
2021-07-13,Tomato,50.00--60.00,60.00--70.00,40.00--50.00,70.00--80.00,,60.00--70.00,40.00-50.00,,,
2021-07-14,Tomato,40.00--50.00,50.00--60.00,40.00--55.00,60.00--70.00,,70.00--80.00,40.00-50.00,,,
2021-07-15,Tomato,50.00--60.00,50.00--60.00,40.00--50.00,60.00--70.00,,70.00--80.00,40.00-45.00,,,
2021-07-19,Tomato,90.00--100.00,90.00--100.00,60.00--65.00,70.00--80.00,,90.00--100.00,80.00-90.00,,,
2021-07-20,Tomato,100.00--120.00,110.00--120.00,80.00--100.00,70.00--80.00,,100.00--110.00,75.00-85.00,,,
2021-07-22,Tomato,90.00--100.00,70.00--80.00,50.00--60.00,90.00--100.00,80.00--100.00,60.00--80.00,,,,
2021-07-26,Tomato,50.00--70.00,40.00--50.00,25.00--35.00,70.00--80.00,80.00--100.00,60.00--80.00,60.00-70.00,,,
2021-07-27,Tomato,40.00--50.00,40.00--50.00,25.00--35.00,60.00--70.00,80.00--100.00,50.00--60.00,50.00-60.00,,,
2021-07-28,Tomato,40.00--50.00,40.00--50.00,30.00--40.00,50.00--60.00,80.00--100.00,50.00--60.00,45.00-55.00,,,
2021-07-29,Tomato,50.00--60.00,50.00--60.00,40.00--50.00,50.00--60.00,80.00--90.00,50.00--70.00,40.00-50.00,,,
2021-07-30,Tomato,50.00--60.00,50.00--60.00,50.00--60.00,50.00--60.00,80.00--100.00,50.00--60.00,50.00-55.00,,,
2021-08-01,Tomato,70.00--80.00,100.00--110.00,100.00--110.00,90.00--100.00,,80.00--100.00,70.00-90.00,,,
2021-08-02,Tomato,150.00--160.00,140.00--150.00,130.00--140.00,160.00--170.00,,130.00--150.00,145.00-155.00,,,
2021-08-03,Tomato,150.00--160.00,160.00--170.00,100.00--120.00,140.00--160.00,,100.00--120.00,120.00-130.00,,,
2021-08-04,Tomato,70.00--80.00,70.00--80.00,60.00--70.00,80.00--90.00,60.00--80.00,50.00--60.00,70.00-80.00,,,
2021-08-06,Tomato,110.00--120.00,80.00--90.00,80.00--100.00,,100.00--140.00,110.00--130.00,60.00-70.00,,,
2021-08-07,Tomato,80.00--90.00,60.00--70.00,60.00--70.00,80.00--90.00,100.00--120.00,60.00--70.00,50.00-60.00,,,
2021-08-10,Tomato,40.00--50.00,60.00--70.00,60.00--70.00,60.00--70.00,80.00--100.00,70.00--80.00,60.00-70.00,,,
2021-08-12,Tomato,420-440,380--400,350--370,350--390,370--400,340--380,300-320,280--320,,
2021-08-13,Tomato,80.00--100.00,90.00--100.00,60.00--70.00,70.00--80.00,,60.00--70.00,80.00-90.00,,,
2021-08-16,Tomato,100.00--110.00,110.00--120.00,85.00--100.00,120.00--130.00,,90.00--100.00,100.00-120.00,,,
2021-08-17,Tomato,100.00--110.00,100.00--120.00,80.00--90.00,120.00--130.00,,90.00--110.00,100.00-120.00,,,
2021-08-18,Tomato,100.00--120.00,90.00--100.00,60.00--70.00,110.00--120.00,,,100.00-120.00,,,
2021-08-19,Tomato,90.00--110.00,90.00--100.00,65.00--80.00,100.00--110.00,,,80.00-90.00,,,
2021-08-20,Tomato,80.00--100.00,90.00--100.00,80.00--100.00,90.00--100.00,,,75.00-85.00,,,
2021-08-24,Tomato,100.00--120.00,70.00--80.00,45.00--60.00,,,40.00--50.00,55.00-60.00,,,
2021-08-25,Tomato,100.00--120.00,70.00--80.00,50.00--60.00,80.00--90.00,,60.00--70.00,50.00-60.00,,,
2021-09-02,Tomato,160.00--180.00,160.00--170.00,140.00--150.00,160.00--170.00,,130.00--140.00,130.00-140.00,,,
2021-09-03,Tomato,140.00--150.00,160.00--170.00,100.00--120.00,140.00--150.00,,100.00--110.00,110.00-120.00,,,
2021-09-04,Tomato,70.00--90.00,100.00--110.00,90.00--100.00,80.00--90.00,60.00--90.00,60.00--70.00,80.00-90.00,,,
2021-09-06,Tomato,100.00--120.00,80.00--90.00,110.00--130.00,120.00--130.00,120.00--140.00,100.00--120.00,70.00-80.00,,,
2021-09-07,Tomato,70.00--90.00,60.00--70.00,60.00--70.00,70.00--80.00,100.00--140.00,60.00--70.00,50.00-65.00,,,
2021-09-08,Tomato,70.00--80.00,60.00--70.00,60.00--70.00,70.00--80.00,,50.00--65.00,70.00-80.00,,,
2021-09-09,Tomato,80.00--110.00,100.00--120.00,90.00--100.00,,,70.00--90.00,100.00-110.00,,,
2021-09-11,Tomato,280.00--300.00,220.00--240.00,180.00--200.00,300.00--310.00,,230.00--260.00,210.00-220.00,,,
2021-09-12,Tomato,400-430,400--420,350--370,,350--400,350--400,320-350,300--350,,
2021-09-13,Tomato,100.00--120.00,120.00--130.00,80.00--100.00,120.00--130.00,,90.00--110.00,100.00-110.00,,,
2021-09-14,Tomato,80.00--100.00,110.00--120.00,70.00--80.00,120.00--130.00,,80.00--90.00,90.00-100.00,,,
2021-09-15,Tomato,80.00--100.00,100.00--110.00,60.00--70.00,110.00--120.00,,70.00--80.00,90.00-100.00,,,
2021-09-16,Tomato,90.00--110.00,80.00--90.00,60.00--70.00,90.00--100.00,,60.00--70.00,80.00-90.00,,,
2021-09-17,Tomato,70.00--80.00,70.00--80.00,60.00--70.00,90.00--100.00,80.00--100.00,45.00--60.00,80.00-90.00,,,
2021-09-21,Tomato,50.00--60.00,70.00--80.00,60.00--70.00,,70.00--90.00,50.00--65.00,70.00-80.00,,,
2021-09-22,Tomato,60.00--70.00,70.00--80.00,45.00--55.00,70.00--80.00,60.00--80.00,50.00--60.00,80.00-90.00,,,
2021-09-23,Tomato,70.00--80.00,60.00--70.00,45.00--60.00,70.00--80.00,60.00--70.00,50.00--60.00,70.00-80.00,,,
2021-09-24,Tomato,35.00--45.00,50.00--60.00,45.00--50.00,60.00--70.00,70.00--80.00,60.00--70.00,70.00-80.00,,,
2021-09-27,Tomato,30.00--40.00,40.00--50.00,40.00--45.00,60.00--70.00,60.00--80.00,45.00--60.00,60.00-65.00,,,
2021-09-28,Tomato,35.00--50.00,40.00--50.00,50.00--60.00,55.00--60.00,90.00--100.00,50.00--60.00,55.00-65.00,,,
2021-09-29,Tomato,40.00--50.00,60.00--70.00,30.00--40.00,55.00--60.00,80.00--100.00,40.00--50.00,50.00-60.00,,,
2021-09-30,Tomato,50.00--60.00,40.00--50.00,35.00--40.00,55.00--60.00,80.00--90.00,40.00--50.00,45.00-50.00,,,
2021-10-02,Tomato,170.00--180.00,180.00--190.00,145.00--160.00,160.00--170.00,,140.00--160.00,140.00-150.00,,,
2021-10-03,Tomato,120.00--130.00,130.00--150.00,120.00--130.00,130.00--140.00,,100.00--110.00,100.00-120.00,,,
2021-10-05,Tomato,70.00--80.00,80.00--90.00,70.00--80.00,80.00--90.00,60.00--80.00,50.00--60.00,50.00-60.00,,,
2021-10-09,Tomato,100.00--120.00,90.00--100.00,80.00--90.00,120.00--130.00,,80.00--100.00,100.00-110.00,,,
2021-10-11,Tomato,280.00--300.00,220.00--230.00,170.00--190.00,300.00--310.00,200.00--230.00,260.00--300.00,180.00-190.00,,,
2021-10-12,Tomato,400-450,380--400,350--370,380--390,370--400,360--400,320-340,330--360,,
2021-10-13,Tomato,70.00--80.00,50.00--60.00,70.00--85.00,80.00--100.00,100.00--120.00,60.00--70.00,60.00-65.00,,,
2021-10-14,Tomato,70.00--80.00,50.00--60.00,70.00--80.00,80.00--100.00,60.00--70.00,60.00--70.00,60.00-65.00,,,
2021-10-15,Tomato,80.00--90.00,50.00--60.00,55.00--70.00,80.00--90.00,,70.00--80.00,60.00-65.00,,,
2021-10-18,Tomato,60.00--80.00,60.00--70.00,60.00--65.00,70.00--80.00,,70.00--80.00,55.00-60.00,,,
2021-10-21,Tomato,80.00--90.00,70.00--80.00,80.00--90.00,,80.00--100.00,70.00--80.00,55.00-60.00,,,
2021-10-22,Tomato,70.00--80.00,70.00--80.00,70.00--80.00,80.00--90.00,80.00--100.00,80.00--100.00,70.00-80.00,,,
2021-10-25,Tomato,110.00--130.00,120.00--130.00,100.00--120.00,120.00--130.00,,140.00-160.00,120.00-130.00,,,
2021-10-26,Tomato,140.00--150.00,120.00--130.00,150.00--160.00,160.00--170.00,,160.00-180.00,120.00-140.00,,,
2021-10-27,Tomato,120.00--130.00,130.00--140.00,140.00--160.00,170.00--180.00,80.00--100.00,160.00--170.00,150.00-160.00,,,
2021-10-28,Tomato,150.00--160.00,140.00--150.00,155.00--170.00,185.00--190.00,100.00--120.00,140.00--160.00,170.00-180.00,,,
2021-11-01,Tomato,80.00--90.00,90.00--100.00,100.00--110.00,90.00--100.00,,70.00--80.00,110.00-130.00,,,
2021-11-02,Tomato,190.00--210.00,180.00--190.00,155.00--170.00,160.00--180.00,,130.00--150.00,170.00-180.00,,,
2021-11-05,Tomato,140.00--160.00,80.00--90.00,70.00--75.00,80.00--90.00,80.00--90.00,70.00--80.00,80.00-100.00,,,
2021-11-08,Tomato,70.00--90.00,90.00--100.00,60.00--70.00,70.00--80.00,,50.00--70.00,70.00-80.00,,,
2021-11-10,Tomato,70.00--80.00,40.00--50.00,60.00--70.00,90.00--100.00,100.00--120.00,70.00--80.00,60.00-70.00,,,
2021-11-16,Tomato,260.00--280.00,240.00--250.00,220.00--250.00,300.00--320.00,200.00--250.00,250.00--270.00,210.00-240.00,,,
2021-11-17,Tomato,280.00--300.00,250.00--260.00,250.00--270.00,300.00--300.00,250.00--280.00,220.00--250.00,,,,
2021-11-23,Tomato,250.00--270.00,250.00--270.00,280.00--320.00,320.00--340.00,350.00--400.00,250.00--280.00,270.00-280.00,,,
2021-11-24,Tomato,250.00--280.00,240.00--260.00,220.00--250.00,320.00--340.00,330.00--380.00,250.00--280.00,270.00-280.00,,,
2021-11-30,Tomato,350.00--400.00,300.00--330.00,280.00--330.00,320.00--330.00,350.00--400.00,320.00--350.00,280.00-300.00,,,
2021-12-01,Tomato,90.00--100.00,90.00--100.00,90.00--110.00,80.00--90.00,,100.00--110.00,100.00-110.00,,,
2021-12-02,Tomato,180.00--200.00,180.00--190.00,170.00--180.00,170.00--180.00,,160.00--180.00,150.00-160.00,,,
2021-12-03,Tomato,100.00--120.00,120.00--130.00,90.00--110.00,120.00--130.00,,70.00--90.00,90.00-100.00,,,
2021-12-07,Tomato,70.00--80.00,60.00--70.00,50.00--60.00,70.00--80.00,80.00--100.00,60.00--70.00,40.00-50.00,,,
2021-12-08,Tomato,80.00--90.00,90.00--100.00,55.00--65.00,75.00--80.00,,45.00--60.00,75.00-85.00,,,
2021-12-10,Tomato,80.00--90.00,60.00--70.00,70.00--90.00,90.00--100.00,100.00--140.00,60.00--80.00,50.00-60.00,,,
2021-12-13,Tomato,300-320,350--360,300--340,380--400,420--460,340--380,340-350,,,
2021-12-14,Tomato,330-350,340--350,300--330,380--400,400--430,320--360,340-350,350--370,,
2021-12-15,Tomato,320-340,340--350,310--340,320--370,380--420,300--330,320-330,280--300,,
2021-12-16,Tomato,330-350,320--340,300--350,320--340,380--400,280--310,280-310,260--280,,
2021-12-17,Tomato,320-330,300--320,270--300,300--320,380--400,300--330,,260--280,,
2021-12-20,Tomato,320-330,280--300,200--240,270--300,350--400,260--300,260-300,,,
2021-12-21,Tomato,280-300,300--330,190--230,270--290,,260--290,250-300,250--280,,
2021-12-22,Tomato,260-280,290--300,250--270,260--290,,240--270,260-280,280--320,,
2021-12-23,Tomato,260-280,280--300,200--250,280--290,320--400,260--280,230-260,250--280,,
2021-12-24,Tomato,260-270,250--270,180--200,280--290,300--350,200--240,210-230,260--280,,
2021-12-27,Tomato,200-230,170--180,120--140,200--230,320--350,170--200,140-160,,,
2021-12-28,Tomato,140-150,140--150,100--120,170--180,,130--150,150-180,160--180,,
2021-12-29,Tomato,150-160,150--160,130--150,140--160,,110--140,120-130,120--130,,
2021-12-30,Tomato,160-170,140--150,140--160,150--160,,130--160,140-160,130--160,,
2021-12-31,Tomato,170-180,150--170,100--130,190--200,,160--180,140-160,,,
2022-01-02,Tomato,120-130,110--130,80--100,130--140,,60--80,90-100,120--140,,
2022-01-02,Tomato,120-130,110--130,80--100,130--140,,60--80,90-100,120--140,,
2022-01-04,Tomato,70-80,60--70,50--70,60--80,100--120,40--50,40--50,45-50,30-40,60--70
2022-01-06,Tomato,550-600,500--520,450--500,520--600,,520--570,430--450,460-480,450-480,520--570
2022-01-07,Tomato,130-150,140--150,120--140,130--140,,100--130,80--100,90-100,100-120,120--150
2022-01-08,Tomato,350-370,270--300,270--300,330--340,,200--230,350--380,360-380,,280--320
2022-01-09,Tomato,150-170,150--170,120--130,140--160,,120--150,150--160,150-180,120-150,145--160
2022-01-11,Tomato,300--350,260--280,200--230,290--320,,270-300,250--260,170-180,200-250,270--290
2022-01-12,Tomato,160--180,150--160,80--120,140--160,,120-140,110--120,120-140,100-120,150--180
2022-01-12,Tomato,160--180,150--160,80--120,140--160,,120-140,110--120,120-140,100-120,150--180
2022-01-13,Tomato,150-160,130--140,100--110,140--160,,100--120,110-120,120--140,,
2022-01-18,Tomato,150-160,100--110,80--100,,,100--120,80-100,110--130,,
2022-01-19,Tomato,140-150,80--90,70--80,130--150,,80--110,90-110,100--120,,
2022-02-02,Tomato,110-130,100--120,90--110,120--140,,70--80,90-110,,,
2022-02-02,Tomato,110-130,100--120,90--110,120--140,,70--80,90-110,,,
2022-02-03,Tomato,270-290,270--280,220--240,270--280,170--200,220--240,260--280,260-280,230-250,240--260
2022-02-06,Tomato,550-570,450--500,480--530,630--650,,550--600,450--470,460-480,450-480,600--650
2022-02-08,Tomato,280-300,270--300,260--300,350--360,,200--250,300--330,290-330,350-380,320--350
2022-02-09,Tomato,150-160,180--200,130--160,160--170,,100--140,180--200,160-180,120-150,150--160
2022-02-11,Tomato,330--350,260--280,250--280,300--320,,250-280,250--260,250-260,250-260,260--280
2022-02-12,Tomato,140--160,100--120,100--130,140--160,,100-130,90--110,100-120,90-120,130--150
2022-02-12,Tomato,140--160,100--120,100--130,140--160,,100-130,90--110,100-120,90-120,130--150
2022-02-14,Tomato,160-180,180-200,170--200,150--160,,140--160,150-160,,,
2022-02-14,Tomato,160-180,180-200,170--200,150--160,,140--160,150-160,,,
2022-02-15,Tomato,160-180,160--180,160--180,180--190,,150--170,120-140,180--200,,
2022-02-15,Tomato,160-180,160--180,160--180,180--190,,150--170,120-140,180--200,,
2022-02-17,Tomato,240-260,180--200,140--160,,,160--180,170-180,180--200,,
2022-02-17,Tomato,240-260,180--200,140--160,,,160--180,170-180,180--200,,
2022-02-18,Tomato,240-260,180--200,160--180,190--210,100--140,150--170,150-180,180--200,,
2022-02-18,Tomato,240-260,180--200,160--180,190--210,100--140,150--170,150-180,180--200,,
2022-02-21,Tomato,200-240,200--210,160--180,200--220,100--120,170--180,180-190,,,
2022-02-21,Tomato,200-240,200--210,160--180,200--220,100--120,170--180,180-190,,,
2022-03-01,Tomato,170-180,150--170,100--130,190--200,,160--180,140-160,,,
2022-03-02,Tomato,100-120,80--100,80--100,100--120,,60--80,90-100,100--120,,
2022-03-02,Tomato,100-120,80--100,80--100,100--120,,60--80,90-100,100--120,,
2022-03-03,Tomato,260-280,260--270,240--250,270--280,150--170,200--230,270--280,260-280,230-250,260--280
2022-03-06,Tomato,500-550,480--500,500--550,580--600,,600--650,450--480,460-480,450-480,530--600
2022-03-08,Tomato,330-350,270--300,270--300,340--360,,220--250,300--350,320-340,320-350,300--350
2022-03-10,Tomato,200--220,160--180,140--160,200--210,300--330,150-170,160--180,190-200,,190--210
2022-03-11,Tomato,280--300,290--310,270--300,300--330,,270-300,260--280,280-300,260-300,250--280
2022-03-14,Tomato,250-260,250--260,220--250,270--280,150--180,200--220,220--260,230-260,,230--250
2022-03-15,Tomato,260-270,220--240,230--260,270--290,250--270,100--140,150--180,180-200,200-240,230--250
2022-03-16,Tomato,260-270,220--240,230--260,270--290,250--270,100--140,150--180,180-200,200-240,230--250
2022-03-18,Tomato,200-220,130--150,130--150,,200--220,100--130,110--130,120-140,120-140,
2022-03-21,Tomato,160-180,140--150,90--110,150--170,200--220,100--120,120--140,120-140,,130--145
2022-03-22,Tomato,150-160,140--160,100--120,150--180,200--220,100--120,120--140,120-140,120-140,140--150
2022-03-23,Tomato,140-160,140--150,110--130,150--160,120--140,90--110,100--130,110-130,130-140,120--140
2022-03-24,Tomato,120-150,120--140,100--120,140--150,140--160,100--110,100--120,110-130,100-120,120--130
2022-03-25,Tomato,120-130,90-100,70-90,130-150,140-150,80-100,90-120,100-120,100-120,120--130
2022-03-28,Tomato,80-100,70--80,65--80,90--100,,50--60,65--75,65-75,,80--100
2022-03-29,Tomato,90-100,70--80,70--80,80--90,,50--60,30--40,35-45,50-60,70--75
2022-03-30,Tomato,70-80,70--80,65--75,70--80,,50--60,40--45,40-45,35-45,60--75
2022-03-31,Tomato,70-80,60--70,65--75,70--80,,50--60,40--45,40-45,35-45,60--75
2022-04-03,Tomato,270-280,250--270,230--250,280--290,140--170,220--250,250--270,260-280,240-260,260--270
2022-04-04,Tomato,100-110,60--70,50--60,,50--60,30--40,40--45,45-55,,
2022-04-05,Tomato,280-300,280--300,250--280,270--300,,190--220,200--230,240-260,200-220,280--300
2022-04-07,Tomato,170-180,130--150,100--120,165--180,,110--140,90--100,100-110,,150--170
2022-04-08,Tomato,300-330,290--300,250--280,350--360,,200--230,330--350,300-330,320-350,280--300
2022-04-10,Tomato,160--200,190--200,140--160,200--220,,150-180,170--180,180-190,150-170,180--220
2022-04-11,Tomato,380--400,300-330,300--330,310--330,,260-300,280--300,290-310,280-300,300--320
2022-04-18,Tomato,120-150,100--110,70--80,,140--150,70--100,90--105,100-110,,100--120
2022-04-19,Tomato,100-140,100--120,30--40,100--110,80--100,30--50,80--90,70-90,60-80,70--90
2022-04-20,Tomato,90-100,100--110,35--45,80--90,,30--40,,,50-60,70--80
2022-04-21,Tomato,90-100,100--120,70--90,70--80,,30--50,50--60,60-80,50-60,
2022-04-22,Tomato,100-110,100--110,80--100,80--100,,70--90,70--90,70-80,70-80,80--90
2022-04-25,Tomato,150-180,160--180,160--180,150--160,,100--120,100--120,110-120,,120--140
2022-04-26,Tomato,160-180,190--200,140--160,170--180,,120--140,110--140,110-130,130-150,140--200
2022-04-27,Tomato,170-200,200--210,160--180,180--200,100--150,130--160,110--130,120-140,120-130,160--180
2022-04-29,Tomato,230-250,220--230,150--170,,150--200,160--180,180--200,160-200,160-200,
2022-05-01,Tomato,140-160,130--150,130--150,140--160,,140--170,150-170,150--170,,
2022-05-04,Tomato,70-90,60--70,50--60,80--85,70--90,40--50,50--60,55-65,30-40,65--70
2022-05-05,Tomato,260-300,280--300,170--200,280--300,,200--220,190--210,200-220,240-260,270--280
2022-05-07,Tomato,140-150,140--160,120--140,150--160,,100--130,90--100,100-120,100-120,150--180
2022-05-08,Tomato,300-330,280--300,260--300,300--320,,220--250,300--350,320-350,320-350,280--320
2022-05-09,Tomato,180--200,190--200,160--180,200--220,,140-160,200--220,180-220,,200--220
2022-05-10,Tomato,180--200,180--200,130--150,170--200,,140-170,150--180,160-180,140-160,160--200
2022-05-12,Tomato,100--110,100--120,100--120,,,100-120,90--100,80-100,,130--150
2022-05-12,Tomato,100--110,100--120,100--120,,,100-120,90--100,80-100,,130--150
2022-05-13,Tomato,430-450,450--480,350--380,,,370--400,330--360,340-360,250-280,
2022-05-17,Tomato,600-650,500--520,550--600,,,500--550,420--460,450-480,500-550,
2022-05-18,Tomato,600-620,600--620,600--650,600--670,,650--700,540--580,540-580,500-550,580--600
2022-05-19,Tomato,750-780,590--600,600--650,600--650,,670--700,600--620,600-630,650-700,580--600
2022-05-20,Tomato,630-650,650--670,600--620,660--680,,670--700,560--620,580-620,600-650,650--700
2022-05-23,Tomato,650-700,620--650,550--600,650--710,,600--650,450--480,450-500,,650--720
2022-05-24,Tomato,650-700,450--500,450--500,650--700,,420--470,350--400,360-390,400-420,600--700
2022-05-25,Tomato,550-570,350--400,300--350,530--550,,400--450,350--400,360-400,380-420,500--530
2022-05-26,Tomato,400-430,400--450,380--400,360--400,,370--420,260--320,280-320,400-450,460--500
2022-05-27,Tomato,400-430,450--500,380--400,380--400,,400--450,350--360,380-420,380-400,420--450
2022-05-30,Tomato,550-600,400--420,400--450,440--450,,450--500,430--460,420-440,,450--470
2022-05-31,Tomato,550-580,450--470,450--500,480--500,,470--500,440--460,450-460,400-450,480--500
2022-06-01,Tomato,130-140,130--150,120--130,150--160,,140--170,120-140,160--180,,
2022-06-04,Tomato,90-100,50--60,50--60,70--80,70--100,50--60,45--55,50-60,40-50,60--70
2022-06-06,Tomato,600-650,600--650,600--650,630--680,,660--700,600--620,600-620,,620--650
